E2	P1	E1	P2
E3	P1	E1	P3
E4	P1	E1	P4
E5	P1	E1	P5
E6	P1	E1	P6
E7	P1	E1	P7
E8	P1	E1	P8
E9	P1	E1	P9
E10	P1	E1	P10
E11	P1	E1	P11
E12	P1	E1	P12
E13	P1	E1	P13
E15	P1	E1	P15
E16	P1	E1	P16
E17	P1	E1	P17
E18	P1	E1	P18
E19	P1	E1	P19
E20	P1	E1	P20
E21	P1	E1	P21
E22	P1	E1	P22
E23	P1	E1	P23
E24	P1	E1	P24
E25	P1	E1	P25
E26	P1	E1	P26
E27	P1	E1	P27
E28	P1	E1	P28
E29	P1	E1	P29
E30	P1	E1	P30
E31	P1	E1	P31
E32	P1	E1	P32
E33	P1	E1	P33
E34	P1	E1	P34
E35	P1	E1	P35
E36	P1	E1	P36
E37	P1	E1	P37
E38	P1	E1	P38
E39	P1	E1	P39
E40	P1	E1	P40
E41	P1	E1	P41
E42	P1	E1	P42
E43	P1	E1	P43
E44	P1	E1	P44
E45	P1	E1	P45
