PCH_PhBr	PCH	PhBr
NCH_PhBr	NCH	PhBr
NH3_PhBr	NH3	PhBr
MeI_PCH	MeI	PCH
MeI_NCH	MeI	NCH
MeI_NH3	MeI	NH3
PCH_PhI	PCH	PhI
NCH_PhI	NCH	PhI
NH3_PhI	NH3	PhI
PCH_F3CI	PCH	F3CI
NCH_F3CI	NCH	F3CI
NH3_F3CI	NH3	F3CI
BrBr_PCH	BrBr	PCH
BrBr_NCH	BrBr	NCH
BrBr_NH3	BrBr	NH3
PCH_NBS	PCH	NBS
NCH_NBS	NCH	NBS
NH3_NBS	NH3	NBS
PCH_FCl	PCH	FCl
NCH_FCl	NCH	FCl
NH3_FCl	NH3	FCl
PCH_NIS	PCH	NIS
NCH_NIS	NCH	NIS
NH3_NIS	NH3	NIS
PCH_FBr	PCH	FBr
NCH_FBr	NCH	FBr
NH3_FBr	NH3	FBr
FI_PCH	FI	PCH
FI_NCH	FI	NCH
FI_NH3	FI	NH3
MeI_FCCH	MeI	FCCH
BrBr_FCCH	BrBr	FCCH
FI_FCCH	FI	FCCH
MeI_FMe	MeI	FMe
BrBr_FMe	BrBr	FMe
FI_FMe	FI	FMe
MeI_OCH2	MeI	OCH2
BrBr_OCH2	BrBr	OCH2
FI_OCH2	FI	OCH2
MeI_OPH3	MeI	OPH3
BrBr_OPH3	BrBr	OPH3
FI_OPH3	FI	OPH3
MeI_pyr	MeI	pyr
BrBr_pyr	BrBr	pyr
FI_pyr	FI	pyr
11_benF3-benA	11_benF3-benB	11_benF3-benAB
12_benF6-benA	12_benF6-benB	12_benF6-benAB
19_benCl-acetoneA	19_benCl-acetoneB	19_benCl-acetoneAB
20_benBr-acetoneA	20_benBr-acetoneB	20_benBr-acetoneAB
21_benI-acetoneA	21_benI-acetoneB	21_benI-acetoneAB
22_benCl-Nm3A	22_benCl-Nm3B	22_benCl-Nm3AB
23_benBr-Nm3A	23_benBr-Nm3B	23_benBr-Nm3AB
24_benI-Nm3A	24_benI-Nm3B	24_benI-Nm3AB
25_benBr-mSHA	25_benBr-mSHB	25_benBr-mSHAB
26_benI-mSHA	26_benI-mSHB	26_benI-mSHAB
27_CH3Br-benA	27_CH3Br-benB	27_CH3Br-benAB
28_CH3I-benA	28_CH3I-benB	28_CH3I-benAB
29_CF3Br-benA	29_CF3Br-benB	29_CF3Br-benAB
30_CF3I-benA	30_CF3I-benB	30_CF3I-benAB
